AMXJ022240123	AMXN031240123	NONJ016240105	NONN015240123	AMXJ002240208	NONN017240123	AMXJ022240115	AMXJ025240105	NONN001240105	AMXN018240115	AMXJ039240123	NONN035240105	AMXJ021240123	AMXN029240105	AMXJ034240105	AMXN009240105	NONN007240123	NONN007240105	NONN015240105	AMXJ034240123	AMXN019240208	AMXJ011240105	NONN035240123	AMXN037240123	NONN041240208	unr034240123	NONN023240123	AMXJ008240115	AMXN018240208	NONJ030240123	unr138240123	AMXJ002240105	NONJ006240123	NONJ013240123	AMXJ005240123	NONN041240115	NONN038240208	NONN036240105	ANXN003240105	NONN014240115	AMXJ022240208	AMXJ022240105	NONN036240123	NONN028240208	NONN012240115	AMXN018240123	AMXJ025240123	AMXJ002240115	AMXJ005240105	AMXJ004240105	NONN017240208	AMXN009240123	AMXN027240105	AMXN009240208	NONN001240208	AMXJ026240105	AMXJ021240105	AMXN018240105	NONJ024240123	ANXN003240123	NONJ006240115	AMXJ020240123	NONN001240123	unr103240105	NONJ030240105	NONN012240208	NONN028240123	NONN023240105	unr034240105	unr103240123	AMXJ011240208	AMXN032240123	AMXN019240115	AMXN029240208	NONJ016240115	AMXJ004240123	NONN014240123	NONN012240105	AMXJ020240208	AMXN019240123	NONN010240123	NONN028240105	AMXJ034240208	AMXJ026240208	AMXJ008240105	NONN041240123	AMXJ039240105	NONJ033240208	NONN012240123	AMXN031240208	AMXJ008240123	AMXJ011240123	NONJ013240105	NONN038240115	NONJ01624010	AMXN031240105	AMXJ025240115	NONJ030240115	AMXJ002240123	NONN007240208	NONJ033240123	NONJ024240105	NONN041240105	NONN014240105	AMXJ026240123	AMXN037240208	AMXJ020240105	AMXJ039240115	NONN017240105	NONN038240105	AMXN019240105	unr138240105	NONN001240115	NONN038240123	NONN007240115	NONJ006240208	AMXN027240123	NONN014240208	AMXN037240105	AMXN032240105	NONN028240115	NONJ006240105	AMXN029240123	NONN010240105	NONJ01624010A	AMXJ020240115	NONJ033240105	AMXN032240208	NONJ024240115	AMXJ034240115	NONN036240208	NONN023240115	NONN017240115	NONN036240115	ANXN003240115	NONN015240208	NONN015240115	AMXJ005240208	AMXN031240115	AMXJ004240208	NONN035240208	AMXJ005240115	AMXN032240115	AMXJ021240115	AMXN027240115	ANXN003240208	AMXN029240115	AMXN037240115	NONJ030240208	AMXJ008240208	NONN035240115	NONJ024240208	AMXJ025240208	NONJ013240115	NONJ033240115	NONN010240115	NONJ013240208	NONN010240208	AMXN027240208	AMXJ004240115	AMXJ011240115	NONN023240208	AMXJ026240115	AMXN009240115	AMXJ021240208	AMXJ039240208
a73f97b94d85b164d70e228b442fd480	302	2645	76	106	227	2930	325	72	4	622	867	2043	74	298	414	544	144	25	21	1738	657	173	559	310	88	1754	273	81	646	1005	1356	606	78	31	1265	2	0	928	482	1332	582	142	37	521	0	2605	780	4317	89	15	2	159	607	119	296	276	459	297	355	1184	5	121	0	43	42	31	886	9	844	1210	5351	350	1778	5	8	3185	137	284	6	95	3	495	328	6	29	1	405	0	232	295	327	328	20	5	18	173	160	20	29	553	53	52	0	27	3452	1778	2361	2372	22	485	117	927	76	908	1988	4	723	587	1281	20	1269	17	624	122	296	81	2	948	78	173	284	53	1005	3	95	42	355	227	2605	15	122	325	646	89	159	657	297	117	31	5351	144	4	327	17	18	8	5	52	119	4317	3185	0	1265	544	29	121
3878c760f9d4119dcb3e7ac8dd3fca1d	256	24	0	12	2	0	0	3	0	0	0	0	0	0	0	0	20	0	7	0	0	0	0	29	0	0	0	0	32	442	0	0	3	0	9	0	0	0	12	0	0	0	27	0	0	0	6	0	0	9	0	4	0	6	54	0	0	0	0	148	0	16	6	0	0	0	18	0	0	26	0	91	0	0	0	0	107	36	0	0	2	37	0	0	10	0	0	0	96	0	2	0	10	96	0	24	0	10	93	0	0	0	0	5	65	0	0	0	11	0	0	0	0	89	0	0	178	0	0	0	0	0	0	0	52	0	0	83	3	0	36	0	442	2	0	0	0	2	0	9	0	0	32	0	4	0	0	0	0	0	20	0	2	0	0	0	0	0	6	0	0	0	9	0	10	16
2fe3a6d2c4900ca43a3971095eebba0f	179	153	59	1670	160	108	1478	2403	146	587	248	55	13	195	1166	209	40	40	65	124	426	2616	233	2061	0	39	568	0	65	77	141	24	0	47	0	0	0	84	542	4018	64	716	850	4403	0	59	92	413	36	14	0	469	100	371	426	48	167	707	299	302	0	325	183	365	94	0	162	204	595	341	622	330	1545	0	0	61	242	2259	6	2949	4	827	0	0	257	448	247	0	30	147	0	0	135	0	0	1846	234	135	0	233	619	1	28	9	26	1545	182	184	894	1907	96	900	59	7	3264	0	168	1844	39	181	2562	248	587	239	426	0	0	912	0	2616	2259	619	77	4	2949	94	299	160	59	14	239	1478	65	36	469	426	707	96	47	622	40	0	0	248	0	0	0	1	371	413	61	0	0	209	257	325
7c17538cd8f00d5cde79cec98c0ff72e	107	165	25	1137	138	43	901	1717	102	343	227	37	5	129	674	159	9	65	81	94	328	2221	179	1481	2	58	339	0	103	66	21	0	63	27	37	0	0	73	357	1924	81	266	445	2025	0	26	65	194	40	20	0	304	48	223	209	5	251	203	23	263	0	228	116	253	80	0	51	247	225	287	295	213	953	0	3	43	88	1084	0	954	2	484	118	2	111	403	220	0	3	128	38	118	33	4	0	1079	0	33	6	179	273	0	168	3	15	953	149	149	560	1389	52	441	25	9	1741	2	119	1010	23	161	1161	58	343	92	209	0	0	731	63	2221	1084	273	66	2	954	80	23	138	26	20	92	901	103	40	304	328	203	52	27	295	9	2	38	58	0	3	0	0	223	194	43	0	37	159	111	228
288c16f94110a42638c85b005d46d93d	98	1673	0	3	50	1038	4	0	0	566	362	0	22	167	0	6	0	16	0	838	261	4	121	49	0	889	57	0	114	152	308	0	49	7	674	0	0	0	375	240	0	7	0	144	0	4	149	771	0	3	0	0	301	11	13	0	0	197	138	284	0	27	0	2	46	0	94	0	568	847	3108	0	217	0	0	0	0	356	0	0	0	147	462	0	0	0	135	0	0	0	69	462	0	0	0	3	11	0	0	121	0	0	2	0	385	217	31	31	4	229	0	163	0	65	440	0	430	174	0	0	326	0	566	82	13	0	0	30	49	4	356	0	152	0	0	46	138	50	4	3	82	4	114	0	0	261	197	0	7	3108	0	0	69	0	0	0	0	0	11	771	0	0	674	6	0	27
d1d145dea016c44eac9a08c2f88d9421	78	17	0	0	14	14	22	0	0	3	0	53	0	0	29	13	34	0	0	13	1	15	25	10	0	9	5	0	5	16	12	0	3	7	9	0	0	5	0	15	16	0	0	21	0	172	14	41	0	0	0	9	0	5	2	39	34	0	8	2	0	8	0	1	2	0	16	0	9	1	7	29	13	2	2	52	155	24	0	0	0	13	3	1	0	0	31	0	7	5	8	3	0	0	0	13	56	0	24	25	0	0	45	1	2	13	47	47	3	16	11	6	0	99	2	3	4	8	55	31	4	0	3	0	2	0	0	7	3	15	24	0	16	0	0	2	8	14	172	0	0	22	5	0	9	1	0	11	7	7	34	3	8	0	0	2	0	0	5	41	52	0	9	13	0	8
e31b5affbe5e23b79a8619589f3b6620	75	35	2544	47	0	531	2	42	500	2	24	262	124	3414	88	428	933	105	299	56	0	138	0	100	0	31	227	3	3	216	249	1581	11	1189	39	0	0	245	613	8	0	966	1738	0	0	89	39	11	3034	498	3348	12	290	0	500	2739	501	2851	86	80	3	12	208	57	120	2	44	1041	207	32	2	30	0	0	4	37	1506	489	0	1653	288	637	11	0	1035	121	463	0	2071	0	8	11	390	0	2	928	23	390	332	0	801	178	2506	2070	37	0	661	661	613	133	447	119	2544	122	0	0	1071	0	388	219	0	2470	5	2205	500	3	3348	0	11	138	489	801	216	288	1653	120	86	0	89	498	2205	2	3	3034	12	0	2851	447	1189	2	933	0	8	2470	2	4	3	178	0	11	37	0	39	428	1035	12
5d9479638525ab73ecda14c693ce8f95	74	2	0	6	16	18	3	0	6	7	0	0	0	0	2	16	0	2	3	2	4	15	11	8	0	4	9	0	2	35	0	0	4	2	0	0	0	8	20	12	1	0	0	0	0	27	10	0	3	3	0	0	0	6	58	0	15	10	12	0	0	2	3	0	0	0	53	1	30	0	0	8	16	0	0	19	0	11	0	0	0	21	8	0	0	0	13	0	54	7	5	8	13	0	0	53	0	13	20	11	0	0	0	0	0	16	175	175	20	20	0	4	0	7	11	0	25	0	43	3	5	0	7	0	58	0	0	2	4	15	11	0	35	0	0	0	12	16	27	3	0	3	2	3	0	4	10	0	2	0	0	0	5	0	0	0	0	0	6	0	19	0	0	16	0	2
16176e70c86976660b3681b953b1f834	53	394	0	0	202	239	2	0	3	222	64	51	7	10	6	49	0	0	0	27	165	4	56	4	0	181	3	2	22	68	0	5	16	0	81	0	0	13	45	192	43	0	0	0	0	175	113	73	0	2	0	0	27	13	179	11	31	8	49	259	0	3	0	0	0	0	134	0	21	60	122	2	21	0	0	324	2	87	0	0	0	9	236	0	0	0	11	0	16	4	43	236	0	0	0	34	150	0	5	56	2	0	6	4	27	21	90	90	2	42	12	6	0	54	6	0	12	22	26	4	31	0	222	18	179	2	0	5	16	4	87	2	68	0	0	0	49	202	175	2	18	2	22	0	0	165	8	12	0	122	0	0	43	0	0	0	0	0	13	73	324	0	81	49	0	3
d368eaadb2dd5dcf1446a26518de139f	45	2	0	36	9	9	76	48	3	10	9	22	3	0	142	10	14	0	2	4	34	11	69	10	34	23	1	57	10	23	0	5	0	0	4	0	0	4	20	59	18	0	0	71	0	34	20	66	0	5	0	12	0	8	31	0	14	0	0	3	0	10	6	2	2	11	10	0	15	10	62	109	29	0	4	10	35	0	7	12	0	26	7	27	0	14	17	165	23	12	2	7	10	17	24	12	0	10	22	69	17	0	0	0	4	29	40	40	5	9	2	12	0	8	30	0	20	19	5	4	41	0	10	10	31	57	0	87	0	11	0	17	23	0	12	2	0	9	34	5	10	76	10	0	12	34	0	2	0	62	14	0	2	0	24	4	0	0	8	66	10	165	4	10	0	10
