AMXJ022240123	AMXN031240123	NONJ016240105	NONN015240123	AMXJ002240208	NONN017240123	AMXJ022240115	AMXJ025240105	NONN001240105	AMXN018240115	AMXJ039240123	NONN035240105	AMXJ021240123	AMXN029240105	AMXJ034240105	AMXN009240105	NONN007240123	NONN007240105	NONN015240105	AMXJ034240123	AMXN019240208	AMXJ011240105	NONN035240123	AMXN037240123	NONN041240208	unr034240123	NONN023240123	AMXJ008240115	AMXN018240208	NONJ030240123	unr138240123	AMXJ002240105	NONJ006240123	NONJ013240123	AMXJ005240123	NONN041240115	NONN038240208	NONN036240105	ANXN003240105	NONN014240115	AMXJ022240208	AMXJ022240105	NONN036240123	NONN028240208	NONN012240115	AMXN018240123	AMXJ025240123	AMXJ002240115	AMXJ005240105	AMXJ004240105	NONN017240208	AMXN009240123	AMXN027240105	AMXN009240208	NONN001240208	AMXJ026240105	AMXJ021240105	AMXN018240105	NONJ024240123	ANXN003240123	NONJ006240115	AMXJ020240123	NONN001240123	unr103240105	NONJ030240105	NONN012240208	NONN028240123	NONN023240105	unr034240105	unr103240123	AMXJ011240208	AMXN032240123	AMXN019240115	AMXN029240208	NONJ016240115	AMXJ004240123	NONN014240123	NONN012240105	AMXJ020240208	AMXN019240123	NONN010240123	NONN028240105	AMXJ034240208	AMXJ026240208	AMXJ008240105	NONN041240123	AMXJ039240105	NONJ033240208	NONN012240123	AMXN031240208	AMXJ008240123	AMXJ011240123	NONJ013240105	NONN038240115	NONJ01624010	AMXN031240105	AMXJ025240115	NONJ030240115	AMXJ002240123	NONN007240208	NONJ033240123	NONJ024240105	NONN041240105	NONN014240105	AMXJ026240123	AMXN037240208	AMXJ020240105	AMXJ039240115	NONN017240105	NONN038240105	AMXN019240105	unr138240105	NONN001240115	NONN038240123	NONN007240115	NONJ006240208	AMXN027240123	NONN014240208	AMXN037240105	AMXN032240105	NONN028240115	NONJ006240105	AMXN029240123	NONN010240105	NONJ01624010A	AMXJ020240115	NONJ033240105	AMXN032240208	NONJ024240115	AMXJ034240115	NONN036240208	NONN023240115	NONN017240115	NONN036240115	ANXN003240115	NONN015240208	NONN015240115	AMXJ005240208	AMXN031240115	AMXJ004240208	NONN035240208	AMXJ005240115	AMXN032240115	AMXJ021240115	AMXN027240115	ANXN003240208	AMXN029240115	AMXN037240115	NONJ030240208	AMXJ008240208	NONN035240115	NONJ024240208	AMXJ025240208	NONJ013240115	NONJ033240115	NONN010240115	NONJ013240208	NONN010240208	AMXN027240208	AMXJ004240115	AMXJ011240115	NONN023240208	AMXJ026240115	AMXN009240115	AMXJ021240208	AMXJ039240208
469fe77d05259fbc97ba38d9f6b87fa1	2273.25102880658	430.452674897119	37.4485596707819	457.61316872428	4701.64609053498	577.366255144033	3593.41563786008	325.514403292181	20.9876543209877	5853.08641975309	7301.23456790123	106.995884773663	19.3415637860082	87.6543209876543	923.456790123457	67.9012345679012	2.46913580246914	3274.48559670782	39.5061728395062	436.213991769547	4843.62139917695	696.707818930041	5391.35802469136	3088.0658436214	4.11522633744856	3078.18930041152	2576.54320987654	6.17283950617284	4777.36625514403	411.522633744856	418.518518518518	81.4814814814815	6135.8024691358	72.0164609053498	3702.88065843621	0	0	70.7818930041152	804.938271604938	1664.60905349794	3099.58847736626	2914.81481481481	98.7654320987654	3251.02880658436	0	68.3127572016461	4840.329218107	414.40329218107	7.81893004115226	17.6954732510288	36.2139917695473	445.679012345679	2322.63374485597	3592.59259259259	1078.18930041152	6.17283950617284	225.102880658436	475.720164609053	889.300411522634	723.456790123457	3.7037037037037	428.395061728395	37.8600823045267	760.905349794239	66.2551440329218	1.64609053497942	548.148148148148	34.5679012345679	1089.30041152263	1024.69135802469	1986.83127572016	500.411522633745	6786.41975308642	0.411522633744856	1.23456790123457	171.19341563786	74.0740740740741	3039.91769547325	2.05761316872428	47.7366255144033	5.76131687242798	3467.48971193416	5282.30452674897	0.823045267489712	188.065843621399	18.1069958847737	876.954732510288	2.05761316872428	44.8559670781893	5590.94650205761	5481.89300411523	5282.30452674897	44.0329218106996	2.05761316872428	0	1981.06995884774	1669.13580246914	44.0329218106996	535.802469135802	5391.35802469136	47.7366255144033	0	77.3662551440329	57.201646090535	81.4814814814815	6787.65432098765	369.547325102881	416.460905349794	517.283950617284	2078.18930041152	29.6296296296296	1069.13580246914	39.917695473251	30.8641975308642	1382.30452674897	0	53.0864197530864	8283.95061728395	82.716049382716	97.119341563786	1390.94650205761	2.46913580246914	5853.08641975309	627.16049382716	1078.18930041152	6.17283950617284	36.2139917695473	2088.0658436214	6135.8024691358	696.707818930041	3039.91769547325	47.7366255144033	411.522633744856	5.76131687242798	47.7366255144033	66.2551440329218	889.300411522634	4701.64609053498	68.3127572016461	17.6954732510288	627.16049382716	3593.41563786008	4777.36625514403	7.81893004115226	445.679012345679	4843.62139917695	475.720164609053	29.6296296296296	72.0164609053498	1986.83127572016	2.46913580246914	0	5481.89300411523	2.46913580246914	0	1.23456790123457	3.7037037037037	0	3592.59259259259	414.40329218107	171.19341563786	2.05761316872428	3702.88065843621	67.9012345679012	188.065843621399	428.395061728395
e8fe45a7a5ba6655110894d26023de93	2034.56790123457	246.913580246914	58.4362139917695	221.810699588477	282.304526748971	446.502057613169	493.827160493827	537.037037037037	2.05761316872428	222.633744855967	127.98353909465	11.1111111111111	23.4567901234568	1.64609053497942	387.24279835391	25.1028806584362	136.625514403292	10.2880658436214	8.23045267489712	62.1399176954733	88.477366255144	37.037037037037	332.510288065844	124.279835390946	0.823045267489712	153.497942386831	149.382716049383	0.823045267489712	626.748971193416	916.872427983539	121.399176954732	0.823045267489712	176.131687242798	60.082304526749	239.094650205761	0	2.05761316872428	9.05349794238683	14.8148148148148	106.172839506173	262.139917695473	44.4444444444444	113.168724279835	310.288065843621	0	130.864197530864	975.308641975308	242.38683127572	10.6995884773663	3.29218106995885	31.6872427983539	140.329218106996	16.8724279835391	223.456790123457	1171.6049382716	0	39.917695473251	37.037037037037	25.1028806584362	446.913580246914	0	62.5514403292181	14.40329218107	121.810699588477	13.1687242798354	1.64609053497942	311.111111111111	0	169.958847736626	193.827160493827	405.349794238683	358.43621399177	880.246913580247	0	0	72.0164609053498	88.0658436213992	9.46502057613169	4.52674897119342	0.823045267489712	6.17283950617284	37.8600823045267	87.2427983539095	1.64609053497942	59.2592592592593	52.2633744855967	90.1234567901235	0	140.740740740741	128.395061728395	393.827160493827	87.2427983539095	6.99588477366255	0	0	378.600823045267	518.930041152263	6.99588477366255	438.271604938272	332.510288065844	73.6625514403292	0.823045267489712	0	11.9341563786008	27.1604938271605	880.246913580247	50.2057613168724	62.1399176954732	51.0288065843621	72.0164609053498	0	286.41975308642	58.4362139917695	621.810699588477	696.296296296296	0.823045267489712	289.300411522634	567.489711934156	9.46502057613169	21.3991769547325	2013.99176954733	7.40740740740741	222.633744855967	10.6995884773663	1171.6049382716	0.823045267489712	31.6872427983539	723.456790123457	176.131687242798	37.037037037037	9.46502057613169	73.6625514403292	916.872427983539	6.17283950617284	0.823045267489712	13.1687242798354	25.1028806584362	282.304526748971	130.864197530864	3.29218106995885	10.6995884773663	493.827160493827	626.748971193416	10.6995884773663	140.329218106996	88.477366255144	37.037037037037	0	60.082304526749	405.349794238683	136.625514403292	0.823045267489712	393.827160493827	7.40740740740741	0	0	0	0.823045267489712	223.456790123457	242.38683127572	72.0164609053498	0	239.094650205761	25.1028806584362	59.2592592592593	62.5514403292181
edc5dcc018bfee91b0296a6a0580232b	2936	846	32	597	6047	704	4293	392	46	7650	10478	142	28	126	1051	139	0	3962	45	915	5694	1458	5208	3847	8	4623	2105	11	6343	626	588	51	5422	47	5295	3	0	180	607	2062	2755	1833	6	3920	3	138	6970	549	11	17	3	750	2517	4262	900	4	249	236	277	1389	7	588	48	887	68	3	655	39	631	1569	1844	735	7662	4	10	288	11	2934	5	216	13	3288	9348	13	107	31	678	6	30	6486	7142	9348	16	0	0	1736	1224	16	534	5206	7	0	79	18	95	7665	311	383	508	2079	109	971	39	61	1582	0	100	9536	96	203	1414	55	7650	653	900	11	3	2929	5422	1458	2934	7	626	13	216	68	277	6047	138	17	653	4293	6343	11	750	5694	236	109	47	1844	0	0	7142	55	0	10	7	0	4262	549	288	6	5295	139	107	588
def1ee27f79326c461010d6a9f06c969	827.98353909465	79.0123456790123	4.11522633744856	48.559670781893	475.308641975309	254.320987654321	393.827160493827	98.3539094650206	8.64197530864197	385.185185185185	62.1399176954733	31.6872427983539	16.0493827160494	7.81893004115226	214.40329218107	27.5720164609053	104.526748971193	18.5185185185185	18.1069958847737	33.7448559670782	253.909465020576	51.440329218107	469.135802469136	223.456790123457	0.823045267489712	100	221.399176954732	2.46913580246914	639.506172839506	1278.18930041152	218.518518518519	62.962962962963	60.4938271604938	59.6707818930041	50.6172839506173	0	1.23456790123457	15.6378600823045	36.6255144032922	61.3168724279835	493.827160493827	65.4320987654321	182.716049382716	410.288065843621	0	93.4156378600823	767.901234567901	177.366255144033	2.05761316872428	3.29218106995885	0	114.814814814815	37.4485596707819	67.0781893004115	425.925925925926	15.6378600823045	103.703703703704	39.0946502057613	13.5802469135802	140.329218106996	1.64609053497942	99.5884773662551	13.1687242798354	12.3456790123457	20.1646090534979	0.823045267489712	111.111111111111	9.46502057613169	549.794238683128	161.728395061728	364.197530864198	147.736625514403	592.181069958848	0.823045267489712	2.88065843621399	48.559670781893	39.0946502057613	37.4485596707819	3.7037037037037	115.637860082305	7.81893004115226	106.172839506173	90.5349794238683	0.823045267489712	118.106995884774	37.4485596707819	370.37037037037	0	56.7901234567901	64.6090534979424	130.041152263374	90.5349794238683	9.05349794238683	1.64609053497942	1.23456790123457	227.16049382716	698.765432098765	9.05349794238683	2534.15637860082	469.135802469136	19.7530864197531	1.64609053497942	0	28.3950617283951	19.3415637860082	592.181069958848	96.2962962962963	100	25.9259259259259	61.7283950617284	6.5843621399177	420.987654320988	4.11522633744856	65.843621399177	1584.3621399177	1.23456790123457	75.3086419753086	139.917695473251	29.6296296296296	29.2181069958848	1495.88477366255	34.156378600823	385.185185185185	14.8148148148148	425.925925925926	2.46913580246914	0	713.58024691358	60.4938271604938	51.440329218107	37.4485596707819	19.7530864197531	1278.18930041152	7.81893004115226	115.637860082305	20.1646090534979	13.5802469135802	475.308641975309	93.4156378600823	3.29218106995885	14.8148148148148	393.827160493827	639.506172839506	2.05761316872428	114.814814814815	253.909465020576	39.0946502057613	6.5843621399177	59.6707818930041	364.197530864198	104.526748971193	1.23456790123457	130.041152263374	34.156378600823	1.23456790123457	2.88065843621399	1.64609053497942	1.64609053497942	67.0781893004115	177.366255144033	48.559670781893	0	50.6172839506173	27.5720164609053	118.106995884774	99.5884773662551
576c3499fa4ae30cf5a79c7fecc1a9a5	181.048387096774	831.048387096774	115.322580645161	18.1451612903226	42.3387096774194	469.758064516129	41.1290322580645	50	4.83870967741935	98.7903225806452	83.8709677419355	779.032258064516	16.5322580645161	87.0967741935484	62.9032258064516	243.145161290323	0	9.2741935483871	2.01612903225806	214.112903225806	68.9516129032258	69.758064516129	162.096774193548	86.2903225806452	0	280.645161290323	166.129032258065	0	141.129032258065	391.532258064516	369.354838709677	314.91935483871	18.5483870967742	15.3225806451613	379.435483870968	0	0	371.370967741935	107.661290322581	449.596774193548	52.4193548387097	181.048387096774	0	67.3387096774194	0	571.370967741935	195.161290322581	361.290322580645	12.5	16.5322580645161	0.806451612903226	36.2903225806452	84.6774193548387	16.1290322580645	98.7903225806452	168.145161290323	467.338709677419	27.0161290322581	38.3064516129032	421.774193548387	0	51.6129032258065	58.0645161290323	10.0806451612903	54.4354838709677	0	257.258064516129	0	337.096774193548	340.725806451613	1329.83870967742	47.5806451612903	581.048387096774	0	0	419.354838709677	29.0322580645161	47.5806451612903	8.87096774193548	8.06451612903226	1.20967741935484	368.145161290323	25	0	7.25806451612903	13.7096774193548	164.112903225806	0	63.7096774193548	43.1451612903226	43.1451612903226	25	4.03225806451613	0.403225806451613	0	29.4354838709677	131.048387096774	4.03225806451613	5.64516129032258	161.290322580645	0.403225806451613	14.1129032258065	0	0.403225806451613	1311.29032258065	581.048387096774	997.983870967742	1000.8064516129	6.85483870967742	225	28.6290322580645	764.516129032258	115.322580645161	300.806451612903	343.145161290323	0	563.306451612903	61.2903225806452	994.354838709677	73.3870967741936	127.41935483871	15.3225806451613	99.5967741935484	34.2741935483871	98.7903225806452	0	0.806451612903226	66.5322580645161	18.5483870967742	69.758064516129	47.5806451612903	0.403225806451613	391.532258064516	1.20967741935484	8.06451612903226	54.4354838709677	38.3064516129032	42.3387096774194	571.370967741935	16.5322580645161	34.2741935483871	41.1290322580645	141.129032258065	12.5	36.2903225806452	68.9516129032258	27.0161290322581	28.6290322580645	15.3225806451613	1329.83870967742	0	0	43.1451612903226	15.3225806451613	0	0	0	14.1129032258065	16.1290322580645	361.290322580645	419.354838709677	0	379.435483870968	243.145161290323	7.25806451612903	51.6129032258065
ac5c4cdb9657fc9ebfb0c059fcb83317	162.5	1300.40322580645	77.8225806451613	43.5483870967742	151.209677419355	905.645161290323	252.822580645161	25.8064516129032	16.5322580645161	284.677419354839	357.661290322581	653.629032258065	30.241935483871	140.725806451613	148.790322580645	221.370967741935	27.4193548387097	38.3064516129032	3.2258064516129	727.822580645161	176.612903225806	137.5	372.58064516129	77.8225806451613	0	916.935483870968	148.387096774194	0	188.306451612903	236.290322580645	725	183.467741935484	39.9193548387097	34.2741935483871	371.774193548387	0	0	339.91935483871	111.290322580645	546.774193548387	181.451612903226	220.967741935484	38.7096774193548	358.467741935484	0	1014.91935483871	538.709677419355	1811.6935483871	48.3870967741936	4.03225806451613	0	34.2741935483871	358.064516129032	35.8870967741936	104.838709677419	75.8064516129032	198.790322580645	31.8548387096774	93.1451612903226	293.548387096774	0	52.0161290322581	30.6451612903226	9.2741935483871	58.0645161290323	0	527.822580645161	6.45161290322581	427.41935483871	280.241935483871	2942.33870967742	124.193548387097	849.596774193548	0	0	1707.66129032258	31.0483870967742	97.1774193548387	0	47.5806451612903	4.43548387096774	206.854838709677	116.129032258065	0	7.25806451612903	8.06451612903226	203.225806451613	0	85.4838709677419	69.3548387096774	87.0967741935484	116.129032258065	0	0	0	77.0161290322581	1.61290322580645	0	8.06451612903226	372.58064516129	16.5322580645161	13.7096774193548	30.6451612903226	25.4032258064516	1405.24193548387	849.596774193548	916.935483870968	921.774193548387	7.66129032258065	355.241935483871	31.0483870967742	450.806451612903	77.8225806451613	395.967741935484	700.403225806452	0.403225806451613	337.903225806452	359.274193548387	503.225806451613	41.9354838709677	604.032258064516	34.2741935483871	284.677419354839	37.9032258064516	104.838709677419	0	0	162.903225806452	39.9193548387097	137.5	97.1774193548387	16.5322580645161	236.290322580645	4.43548387096774	47.5806451612903	58.0645161290323	93.1451612903226	151.209677419355	1014.91935483871	4.03225806451613	37.9032258064516	252.822580645161	188.306451612903	48.3870967741936	34.2741935483871	176.612903225806	31.8548387096774	31.0483870967742	34.2741935483871	2942.33870967742	27.4193548387097	0.403225806451613	87.0967741935484	34.2741935483871	0	0	0	13.7096774193548	35.8870967741936	1811.6935483871	1707.66129032258	0	371.774193548387	221.370967741935	7.25806451612903	52.0161290322581
0483d85d002676a96800af327385003d	392	103	12	2	42	324	4	0	4	40	55	70	12	0	5	49	0	31	0	45	31	17	9	20	13	134	30	24	59	466	64	18	16	13	62	46	89	65	45	106	24	43	60	104	42	58	153	122	0	5	0	3	74	12	186	0	76	102	20	147	982	10	0	0	11	68	140	6	46	18	82	7	43	639	29	226	23	32	2	0	0	0	53	59	0	5	0	63	61	10	56	53	4	68	25	43	30	4	38	9	33	2	0	0	197	43	212	212	0	67	0	26	12	43	25	71	8	33	0	5	36	17	40	36	186	24	0	3	16	17	32	33	466	0	0	11	20	42	58	5	36	4	59	0	3	31	102	0	13	82	0	71	56	17	25	29	982	2	12	122	226	63	62	49	0	10
46b31462f3add047633011091b1cff5a	81.3238770685579	0	0	0.945626477541371	1.18203309692671	222.931442080378	0	0	0	11.1111111111111	53.4278959810875	0.236406619385343	4.25531914893617	22.2222222222222	0	0.709219858156028	0	4.49172576832151	0	111.347517730496	0.472813238770686	0	0	0.472813238770686	0	8.03782505910165	0.472813238770686	0.472813238770686	0.472813238770686	199.763593380615	81.5602836879433	0.236406619385343	0	1.41843971631206	0	0.472813238770686	0	0	2.60047281323877	0	0	0.236406619385343	0.236406619385343	0	0.472813238770686	0.472813238770686	306.382978723404	2.12765957446809	0	0	0	0	29.0780141843972	0	2.83687943262411	0.236406619385343	1.6548463356974	0	0.472813238770686	43.7352245862884	0	0	0	0.472813238770686	0	0	4.9645390070922	0	0.236406619385343	7.56501182033097	1.41843971631206	0.472813238770686	0.709219858156028	0.472813238770686	0.709219858156028	0	1.41843971631206	1.89125295508274	0.709219858156028	0	0.709219858156028	2.12765957446809	0.472813238770686	0	0.472813238770686	0.709219858156028	9.45626477541371	0	0.236406619385343	0	2.83687943262411	0.472813238770686	0	0	0	4.25531914893617	0	0	5.20094562647754	0	0.236406619385343	0	0	0	528.132387706856	0.709219858156028	25.0591016548463	26.7139479905437	0.472813238770686	6.38297872340425	0	0	0	0.472813238770686	0	0.472813238770686	0	0.236406619385343	0	0	43.7352245862884	0.236406619385343	11.1111111111111	0	2.83687943262411	0.472813238770686	0	0	0	0	1.89125295508274	0.236406619385343	199.763593380615	0.709219858156028	0	0	0.472813238770686	1.18203309692671	0.472813238770686	0	0	0	0.472813238770686	0	0	0.472813238770686	0	0	1.41843971631206	1.41843971631206	0	0.472813238770686	2.83687943262411	0.236406619385343	0	0.709219858156028	0	0	0	2.12765957446809	0	0	0	0.709219858156028	0.472813238770686	0
6fad41d972e1dcbc82efa6eb5ada8abf	81.8407960199005	60.4477611940299	22.8855721393035	5.97014925373134	10.4477611940299	24.1293532338308	2.23880597014925	1.49253731343284	8.95522388059702	14.9253731343284	11.6915422885572	52.4875621890547	193.532338308458	0	11.9402985074627	53.9800995024876	1111.44278606965	1.24378109452736	78.8557213930348	14.9253731343284	4.22885572139304	1.24378109452736	6.21890547263682	1.99004975124378	262.437810945274	6.96517412935323	2.23880597014925	574.626865671642	5.22388059701493	89.0547263681592	39.0547263681592	308.457711442786	7.71144278606965	100.497512437811	17.1641791044776	6.21890547263682	86.81592039801	296.766169154229	8.2089552238806	9.70149253731344	6.96517412935323	7.71144278606965	0	6.96517412935323	3.23383084577114	225.124378109453	45.273631840796	32.5870646766169	4.97512437810945	38.0597014925373	2.23880597014925	12.4378109452736	5.72139303482587	1.24378109452736	167.661691542289	77.860696517413	83.3333333333333	0	29.3532338308458	31.592039800995	222.885572139304	1.24378109452736	1.49253731343284	0.995024875621891	16.6666666666667	150.995024875622	52.7363184079602	179.10447761194	1.24378109452736	26.1194029850746	34.0796019900498	25.3731343283582	3.23383084577114	432.587064676617	179.353233830846	36.5671641791045	1312.93532338308	3.73134328358209	201.741293532338	11.9402985074627	9.95024875621891	3.73134328358209	5.72139303482587	108.955223880597	24.8756218905473	1.99004975124378	14.9253731343284	742.28855721393	276.865671641791	0.746268656716418	6.21890547263682	5.72139303482587	45.5223880597015	665.671641791045	112.935323383085	9.20398009950249	167.164179104478	45.5223880597015	34.3283582089552	6.21890547263682	270.149253731343	1.99004975124378	47.2636815920398	152.238805970149	7.21393034825871	3.23383084577114	68.9054726368159	69.4029850746269	2.98507462686567	10.1990049751244	16.1691542288557	3.98009950248756	22.8855721393035	64.6766169154229	34.0796019900498	249.502487562189	789.054726368159	0.995024875621891	25.8706467661692	100.248756218905	5.72139303482587	6.46766169154229	18.407960199005	1.49253731343284	167.661691542289	574.626865671642	2.23880597014925	3.23383084577114	7.71144278606965	1.24378109452736	3.73134328358209	270.149253731343	89.0547263681592	9.95024875621891	11.9402985074627	16.6666666666667	29.3532338308458	10.4477611940299	225.124378109453	38.0597014925373	1.49253731343284	2.23880597014925	5.22388059701493	4.97512437810945	12.4378109452736	4.22885572139304	0	16.1691542288557	100.497512437811	34.0796019900498	1111.44278606965	249.502487562189	6.21890547263682	6.46766169154229	112.935323383085	179.353233830846	222.885572139304	1.99004975124378	1.24378109452736	32.5870646766169	36.5671641791045	742.28855721393	17.1641791044776	53.9800995024876	24.8756218905473	1.24378109452736
db9836b9743cd2375d04794b30b74d27	312	793	0	125	291	511	46	104	69	1166	148	434	15	9	80	244	44	129	130	39	3682	98	5138	466	0	129	651	2	932	245	24	133	310	52	446	0	0	175	290	122	991	98	9	193	0	98	78	364	10	30	0	152	65	126	188	84	326	39	45	847	0	278	20	64	196	2	301	19	513	1272	1199	76	1535	3	0	269	34	253	0	50	3	202	723	0	81	59	147	2	59	391	186	723	59	0	0	241	497	59	16	5138	35	0	0	21	36	1535	613	613	37	893	26	622	0	20	178	3	112	357	194	166	187	71	1166	27	188	2	0	375	310	98	253	35	245	3	50	196	45	291	98	30	27	46	932	10	152	3682	39	26	52	1199	44	3	186	71	0	0	0	0	126	364	269	2	446	244	81	278
